"AA9_1"	"AA9_2"	"AA9_3"	"DMSO_1"	"DMSO_2"	"DMSO_3"
"ENSG00000207252"	0	0	0	0	0	0
"ENSG00000187398"	0	0	0	0	2	0
"ENSG00000255489"	0	0	0	0	0	0
"ENSG00000255368"	0	0	0	0	0	0
"ENSG00000265837"	0	0	0	0	0	0
"ENSG00000240298"	0	0	0	0	0	0
"ENSG00000255454"	0	0	2	0	0	0
"ENSG00000254456"	0	0	0	0	0	0
"ENSG00000254754"	0	0	0	0	0	0
"ENSG00000255086"	0	6	2	0	1	0
"ENSG00000255243"	0	0	0	0	0	0
"ENSG00000254819"	0	0	0	0	0	2
"ENSG00000134343"	169	86	130	102	122	120
"ENSG00000255505"	0	0	0	0	0	0
"ENSG00000169550"	804	617	811	1865	1995	1853
"ENSG00000148942"	725	447	736	615	599	573
"ENSG00000176971"	8	10	12	0	2	4
"ENSG00000129151"	13	4	25	18	5	12
"ENSG00000254560"	143	69	108	94	97	86
"ENSG00000109881"	967	697	1035	918	858	985
"ENSG00000205213"	414	303	430	519	483	421
"ENSG00000254862"	0	1	3	0	3	3
"ENSG00000242527"	357	254	497	250	292	338
"ENSG00000148943"	2587	1684	2537	2093	1885	2059
"ENSG00000245573"	98	69	123	157	137	142
"ENSG00000278483"	0	0	0	3	0	0
"ENSG00000212289"	0	0	0	0	0	3
"ENSG00000240036"	3716	2361	4275	2776	2635	3110
"ENSG00000254934"	0	0	0	2	0	4
"ENSG00000176697"	499	296	551	493	498	488
"ENSG00000255496"	6	2	2	0	4	0
"ENSG00000177447"	205	125	202	163	182	162
"ENSG00000224411"	73002	50440	79082	49842	49539	52108
"ENSG00000255094"	6	3	2	5	7	6
"ENSG00000121621"	1178	958	1378	1295	1380	1494
"ENSG00000207874"	0	0	0	0	0	0
"ENSG00000169519"	1734	1028	1778	1458	1243	1424
"ENSG00000271332"	3	4	7	9	0	2
"ENSG00000222385"	2	0	0	0	1	4
"ENSG00000238149"	0	0	0	0	0	0
"ENSG00000255322"	0	2	0	10	6	14
"ENSG00000273912"	0	0	0	0	2	0
"ENSG00000254606"	0	2	0	2	3	0
"ENSG00000248990"	0	0	0	0	0	0
"ENSG00000249867"	11	0	6	6	4	11
"ENSG00000272882"	0	0	0	0	0	0
"ENSG00000254526"	0	0	0	0	0	0
"ENSG00000255450"	2	0	2	2	0	2
"ENSG00000211499"	0	0	0	0	0	0
"ENSG00000254530"	0	0	0	0	0	0
"ENSG00000255281"	0	0	0	0	0	0
"ENSG00000255227"	4	2	3	1	0	4
"ENSG00000255029"	2	4	0	0	0	0
"ENSG00000255117"	0	0	0	0	0	0
"ENSG00000255047"	0	0	0	0	0	0
"ENSG00000254734"	0	0	0	0	0	0
"ENSG00000243505"	0	0	0	0	0	0
"ENSG00000240554"	0	1	0	1	5	1
"ENSG00000261340"	0	0	0	0	0	0
"ENSG00000182255"	0	0	0	0	0	0
"ENSG00000254532"	3	0	0	0	0	0
"ENSG00000255288"	0	0	0	0	0	0
"ENSG00000131808"	0	0	0	0	0	0
"ENSG00000152219"	1438	741	1396	944	840	860
"ENSG00000242353"	0	0	0	0	0	0
"ENSG00000066382"	0	0	0	0	0	0
"ENSG00000255480"	0	0	0	0	0	0
"ENSG00000254489"	0	0	0	0	0	0
"ENSG00000170959"	46	26	48	86	47	45
"ENSG00000221629"	2	0	0	0	0	0
"ENSG00000255370"	0	0	0	2	0	0
"ENSG00000255525"	1	0	0	0	0	0
"ENSG00000170946"	1485	1035	1549	1198	1100	1238
"ENSG00000148950"	157	105	180	122	148	130
"ENSG00000221338"	5	2	4	4	2	9
"ENSG00000109911"	588	366	658	512	449	512
"ENSG00000228061"	5	3	6	6	8	1
"ENSG00000007372"	169	113	202	109	114	134
"ENSG00000049449"	6600	3830	6920	4843	4293	4564
"ENSG00000254584"	0	0	0	0	0	0
"ENSG00000254836"	0	0	0	0	0	0
"ENSG00000254627"	0	0	0	0	0	0
"ENSG00000212551"	0	0	0	0	0	0
"ENSG00000255490"	36	21	39	23	6	14
"ENSG00000255252"	0	0	0	0	0	0
"ENSG00000227160"	0	0	0	0	1	0
"ENSG00000255375"	4	3	8	9	0	0
"ENSG00000184937"	317	191	349	186	157	195
"ENSG00000183242"	122	92	161	60	80	69
"ENSG00000278822"	0	0	0	0	0	0
"ENSG00000273677"	4	8	5	0	4	2
"ENSG00000278045"	0	0	0	0	0	0
"ENSG00000276530"	0	0	0	0	0	0
"ENSG00000273908"	0	0	0	0	0	0
"ENSG00000277119"	0	0	0	0	0	0
"ENSG00000274141"	0	0	0	0	0	0
"ENSG00000149100"	3488	2140	3879	2563	2445	2470
"ENSG00000270903"	18	15	25	20	24	13
"ENSG00000186714"	1	0	2	0	0	0
"ENSG00000244535"	71	29	49	16	38	39
"ENSG00000135378"	6	8	13	20	18	22
"ENSG00000060749"	5689	3625	5540	5134	4645	5035
"ENSG00000200615"	0	0	0	0	0	0
"ENSG00000121690"	563	352	527	491	531	522
"ENSG00000176148"	1440	861	1497	1229	1134	1099
"ENSG00000213713"	669	400	603	583	485	494
"ENSG00000176102"	1544	1000	1575	1252	1263	1178
"ENSG00000247151"	39	38	64	40	39	39
"ENSG00000206808"	8	4	0	2	5	0
"ENSG00000241950"	0	0	0	0	0	0
"ENSG00000200485"	0	2	4	0	2	0
"ENSG00000241255"	7998	5056	8419	6350	6202	6470
"ENSG00000110422"	3753	2481	3896	3216	2993	2990
"ENSG00000223134"	0	0	0	0	0	0
"ENSG00000254537"	0	1	6	2	2	5
"ENSG00000255207"	0	0	0	0	0	0
"ENSG00000110427"	6496	4723	6918	8129	7750	7626
"ENSG00000255202"	24	18	20	29	22	31
"ENSG00000085063"	14553	9481	15627	17628	16569	16987
"ENSG00000205177"	10	16	13	21	17	18
"ENSG00000110429"	2496	1621	2380	2175	2234	2192
"ENSG00000254508"	2	4	0	0	0	0
"ENSG00000255272"	0	0	0	0	0	0
"ENSG00000255161"	0	0	0	0	0	0
"ENSG00000255169"	0	0	0	0	0	0
"ENSG00000254619"	0	0	0	0	0	0
"ENSG00000255133"	0	0	0	0	0	0
"ENSG00000135363"	24	8	28	10	17	7
"ENSG00000184566"	0	0	0	0	0	0
"ENSG00000135387"	17516	11942	19624	15855	14919	15389
"ENSG00000135372"	2588	1491	2743	1983	1739	1905
"ENSG00000166016"	930	635	1038	889	841	965
"ENSG00000201867"	0	0	0	0	0	0
"ENSG00000254708"	3511	2173	3707	2904	2484	2727
"ENSG00000220204"	47	11	48	32	39	24
"ENSG00000216708"	4	3	0	2	0	2
"ENSG00000121691"	1110	742	1313	1152	1084	1100
"ENSG00000135374"	0	0	0	0	0	1
"ENSG00000264667"	0	0	0	0	0	0
"ENSG00000255271"	0	0	0	0	0	0
"ENSG00000255427"	0	0	0	0	0	0
"ENSG00000135373"	0	0	0	0	0	0
"ENSG00000271369"	14	8	30	24	12	12
"ENSG00000270491"	30	23	36	32	34	45
"ENSG00000149089"	843	593	834	648	701	728
"ENSG00000110435"	1538	1037	1597	1372	1576	1472
"ENSG00000251862"	0	0	0	0	0	0
"ENSG00000255521"	48	29	71	53	92	88
"ENSG00000026508"	15304	10447	16608	17891	17520	17703
"ENSG00000255443"	20	22	39	34	33	24
"ENSG00000251194"	94	52	99	82	78	94
"ENSG00000110436"	2	0	2	0	4	0
"ENSG00000255004"	0	0	0	0	2	0
"ENSG00000215380"	99	62	135	75	76	78
"ENSG00000255542"	0	0	0	0	0	0
"ENSG00000149090"	0	0	2	0	4	0
"ENSG00000254669"	0	0	0	0	2	0
"ENSG00000179431"	1951	1461	2652	1505	1282	1452
"ENSG00000254686"	1	0	1	0	0	1
"ENSG00000166326"	13032	8535	14049	10692	9697	10192
"ENSG00000186082"	0	0	0	0	0	0
"ENSG00000266590"	0	0	0	0	0	0
"ENSG00000254919"	0	0	0	0	0	0
"ENSG00000179241"	1388	929	1583	1183	935	1043
"ENSG00000254672"	4	0	2	0	0	0
"ENSG00000255256"	0	0	0	0	0	0
"ENSG00000241228"	1	0	2	0	0	0
"ENSG00000263389"	0	0	0	0	0	0
"ENSG00000280321"	4	2	11	0	0	2
"ENSG00000110442"	1263	880	1500	1090	1097	1265
"ENSG00000135362"	115	81	128	100	102	146
"ENSG00000254566"	6	0	0	2	2	0
"ENSG00000255186"	0	0	0	0	0	0
"ENSG00000255060"	4	0	0	6	0	0
"ENSG00000175104"	1051	651	1101	925	941	876
"ENSG00000280331"	14	2	17	8	12	9
"ENSG00000166349"	681	397	586	523	483	456
"ENSG00000175097"	4	0	0	5	10	0
"ENSG00000166352"	400	255	456	340	296	348
"ENSG00000254498"	0	0	0	0	0	0
"ENSG00000275364"	0	0	0	0	0	0
"ENSG00000251838"	0	0	0	0	0	0
"ENSG00000242834"	0	0	0	0	0	0
"ENSG00000254516"	0	0	0	1	0	0
"ENSG00000279004"	1	0	2	6	2	0
"ENSG00000254784"	0	0	0	0	0	0
"ENSG00000255477"	0	0	0	0	0	0
"ENSG00000255175"	0	0	0	0	0	0
"ENSG00000254562"	0	0	0	0	0	0
"ENSG00000240975"	283	201	282	215	225	273
"ENSG00000201591"	0	0	0	0	0	0
"ENSG00000264020"	0	0	0	0	0	0
"ENSG00000221804"	0	0	0	0	0	0
"ENSG00000270588"	0	0	0	0	0	0
"ENSG00000255347"	0	0	0	0	0	0
"ENSG00000279675"	4	6	4	4	0	2
"ENSG00000148948"	101	37	50	39	37	61
"ENSG00000206806"	0	0	0	0	0	0
"ENSG00000254579"	0	0	0	0	0	0
"ENSG00000266526"	0	0	0	0	0	0
"ENSG00000221357"	0	0	0	0	0	0
"ENSG00000252922"	0	0	0	0	0	0
"ENSG00000255132"	0	0	0	0	0	0
"ENSG00000255388"	0	0	0	0	0	0
"ENSG00000242729"	0	0	0	0	0	0
"ENSG00000255563"	0	0	0	0	0	0
"ENSG00000255171"	0	0	0	0	0	0
"ENSG00000254668"	0	0	0	0	0	0
"ENSG00000255279"	0	0	0	0	0	0
"ENSG00000254822"	0	0	0	0	0	0
"ENSG00000255300"	0	0	0	0	0	0
"ENSG00000274470"	0	0	0	0	0	1
"ENSG00000255109"	0	0	0	0	0	0
"ENSG00000254914"	0	0	0	0	0	0
"ENSG00000271028"	0	0	0	0	0	0
"ENSG00000254725"	0	0	0	0	0	0
"ENSG00000251557"	151	92	182	136	126	125
"ENSG00000166181"	4149	2790	4803	4168	3670	3699
"ENSG00000254907"	9	0	17	17	13	18
"ENSG00000252652"	6	5	10	10	2	2
"ENSG00000052841"	5204	3038	5242	4577	3799	4068
"ENSG00000255340"	0	0	0	0	0	0
"ENSG00000254577"	30	16	25	18	27	32
"ENSG00000252355"	17	4	10	9	28	11
"ENSG00000254463"	17	20	34	33	27	20
"ENSG00000213697"	65	26	69	56	76	66
"ENSG00000149084"	4764	3323	5225	4299	4225	4285
"ENSG00000235661"	0	2	0	6	2	2
"ENSG00000211568"	0	0	0	0	0	0
"ENSG00000199077"	0	0	0	0	0	0
"ENSG00000243721"	11	10	14	12	6	4
"ENSG00000254512"	35	17	25	18	26	25
"ENSG00000246250"	42	32	77	61	60	31
"ENSG00000166199"	607	431	823	547	498	490
"ENSG00000213693"	3999	2504	4099	3312	2808	2954
"ENSG00000244926"	47	19	34	30	30	18
"ENSG00000254409"	3	5	12	4	4	9
"ENSG00000187479"	4	6	3	13	19	14
"ENSG00000244953"	0	0	0	2	0	2
"ENSG00000205126"	0	0	0	0	0	0
"ENSG00000110455"	1345	843	1243	1162	1103	1023
"ENSG00000255165"	38	19	40	28	20	15
"ENSG00000151348"	3667	2536	4006	3667	3235	3409
"ENSG00000052850"	4	6	8	5	8	4
"ENSG00000255451"	0	0	0	0	0	0
"ENSG00000255106"	0	0	0	0	0	0
"ENSG00000085117"	623	451	634	673	627	681
"ENSG00000254693"	0	0	0	0	0	0
"ENSG00000255092"	3	2	0	0	4	1
"ENSG00000244267"	1	0	0	0	0	0
"ENSG00000275725"	0	0	0	0	0	0
"ENSG00000255079"	0	0	0	0	0	0
"ENSG00000255032"	0	0	0	0	0	0
"ENSG00000157570"	0	0	0	0	2	0
"ENSG00000175274"	4	4	4	2	7	2
"ENSG00000254654"	0	0	0	0	0	0
"ENSG00000019485"	613	404	739	589	564	530
"ENSG00000254664"	2	2	2	0	2	2
"ENSG00000019505"	0	0	2	0	0	0
"ENSG00000254497"	0	0	0	0	0	0
"ENSG00000254427"	0	0	0	0	0	0
"ENSG00000255267"	0	0	0	0	0	0
"ENSG00000255041"	0	0	0	0	0	0
"ENSG00000254651"	0	0	0	0	0	0
"ENSG00000254746"	0	0	0	0	0	0
"ENSG00000255519"	0	0	0	0	0	0
"ENSG00000254514"	0	0	0	0	0	0
"ENSG00000175264"	0	4	0	0	0	0
"ENSG00000255091"	0	0	0	0	0	0
"ENSG00000276639"	0	0	0	0	0	0
"ENSG00000254519"	0	0	0	0	0	0
"ENSG00000255426"	0	0	0	0	0	0
"ENSG00000255226"	0	0	0	0	0	0
"ENSG00000205106"	0	0	0	0	0	0
"ENSG00000181830"	782	572	930	770	613	684
"ENSG00000255447"	0	0	0	0	0	0
"ENSG00000121671"	490	371	504	433	434	427
"ENSG00000121653"	369	297	444	423	362	347
"ENSG00000255498"	0	0	0	0	0	0
"ENSG00000234776"	10	12	11	5	21	12
"ENSG00000121680"	396	234	425	339	260	392
"ENSG00000165905"	128	148	210	185	200	227
"ENSG00000135365"	3444	2353	3663	3262	3086	3259
"ENSG00000263539"	0	2	2	0	0	2
"ENSG00000254653"	5	2	6	0	12	3
"ENSG00000254871"	23	34	41	50	38	32
"ENSG00000255314"	0	0	0	0	0	0
"ENSG00000255269"	0	0	0	0	0	0
"ENSG00000254639"	53	37	75	52	34	70
"ENSG00000255007"	0	0	0	0	0	0
"ENSG00000157613"	808	546	937	781	651	658
"ENSG00000149091"	1501	1036	1626	1292	1119	1291
"ENSG00000264102"	0	0	0	0	0	0
"ENSG00000110492"	3972	2524	4332	2935	3004	2976
"ENSG00000180720"	4	12	5	21	30	30
"ENSG00000110497"	1680	1079	1810	1547	1351	1462
"ENSG00000244313"	21808	13884	23215	18515	17828	18184
"ENSG00000265014"	0	0	0	0	0	0
"ENSG00000180423"	138	107	168	129	98	116
"ENSG00000175224"	3555	2280	3789	3012	2622	2828
"ENSG00000175220"	2292	1477	2499	2055	1830	1865
"ENSG00000175213"	567	359	629	559	451	450
"ENSG00000180210"	3	2	0	7	0	0
"ENSG00000175216"	9252	6438	10062	9784	9523	9618
"ENSG00000263540"	4	2	1	0	3	4
"ENSG00000252427"	2	2	0	2	2	0
"ENSG00000212135"	12	5	9	6	9	7
"ENSG00000247675"	38	23	44	46	33	31
"ENSG00000134569"	602	461	648	547	509	526
"ENSG00000149179"	945	700	1101	1000	932	955
"ENSG00000271350"	144	80	163	125	104	112
"ENSG00000255520"	4	0	2	0	2	2
"ENSG00000149182"	1912	1336	1949	1746	1639	1764
"ENSG00000270060"	83	26	61	49	56	60
"ENSG00000165912"	910	662	1049	1041	915	1016
"ENSG00000275208"	0	0	0	0	0	0
"ENSG00000243802"	4499	3120	5153	3675	3573	3404
"ENSG00000134574"	727	507	802	1050	917	993
"ENSG00000256897"	13	11	12	8	30	26
"ENSG00000134575"	934	543	960	923	722	751
"ENSG00000025434"	624	383	624	447	458	441
"ENSG00000110514"	1855	1418	2159	2112	1924	2145
"ENSG00000256746"	7	2	12	12	11	5
"ENSG00000134571"	0	0	4	0	0	0
"ENSG00000066336"	1	1	6	10	4	7
"ENSG00000255197"	2	2	4	0	1	4
"ENSG00000264583"	0	0	0	0	0	0
"ENSG00000165915"	2740	1690	2860	2460	2088	2330
"ENSG00000165916"	3018	2007	3119	2272	2078	2256
"ENSG00000165917"	43	23	30	12	14	25
"ENSG00000149187"	10936	7467	11688	9722	9246	9407
"ENSG00000265467"	0	0	0	0	0	0
"ENSG00000270072"	4	1	0	4	2	8
"ENSG00000265559"	2	4	1	4	4	3
"ENSG00000213619"	1516	1051	1591	1290	1288	1330
"ENSG00000110536"	263	150	315	208	195	204
"ENSG00000123444"	216	177	271	227	217	242
"ENSG00000200376"	8	2	0	5	0	4
"ENSG00000231880"	0	0	0	0	0	0
"ENSG00000196666"	0	0	8	0	0	2
"ENSG00000172247"	17	9	15	9	11	17
"ENSG00000109919"	2138	1329	2310	1976	2011	2128
"ENSG00000165923"	299	168	305	272	204	195
"ENSG00000109920"	4841	3020	5071	4627	4197	4082
"ENSG00000200090"	46	20	52	48	24	55
"ENSG00000030066"	2747	1793	3068	2153	1983	2171
"ENSG00000271543"	0	2	4	0	0	0
"ENSG00000252941"	0	0	0	0	2	0
"ENSG00000252874"	8	14	5	5	6	6
"ENSG00000271557"	345	166	285	249	198	200
"ENSG00000254780"	2199	1472	2118	1731	1874	1798
"ENSG00000149177"	1795	1095	1872	1526	1486	1464
"ENSG00000254879"	0	2	0	0	2	0
"ENSG00000263693"	1	0	0	0	0	0
"ENSG00000175619"	0	0	0	0	0	0
"ENSG00000255514"	0	0	0	0	0	0
"ENSG00000172208"	0	0	0	0	0	0
"ENSG00000279556"	0	0	0	0	0	0
"ENSG00000279260"	0	0	0	0	0	0
"ENSG00000176567"	0	0	0	0	0	0
"ENSG00000176555"	0	0	0	0	0	0
"ENSG00000176547"	0	0	0	0	0	0
"ENSG00000197161"	0	0	0	0	0	0
"ENSG00000176540"	0	0	0	0	0	0
"ENSG00000182565"	0	0	0	0	0	0
"ENSG00000184789"	0	0	0	0	0	0
"ENSG00000254925"	0	0	0	0	0	0
"ENSG00000255215"	0	0	0	0	0	0
"ENSG00000237388"	0	0	0	0	0	0
"ENSG00000255113"	0	0	0	0	0	0
"ENSG00000255304"	0	0	0	0	0	0
"ENSG00000254832"	0	0	0	0	0	0
"ENSG00000255534"	0	0	0	0	0	0
"ENSG00000213607"	0	0	0	0	0	0
"ENSG00000255297"	0	0	0	0	0	0
"ENSG00000254674"	0	0	0	0	0	0
"ENSG00000255053"	0	0	0	0	0	0
"ENSG00000255551"	0	0	0	0	0	0
"ENSG00000254728"	0	0	0	0	0	0
"ENSG00000254920"	0	0	0	0	0	0
"ENSG00000255527"	0	0	0	0	0	0
"ENSG00000249910"	0	0	0	0	0	0
"ENSG00000254517"	0	0	0	0	0	0
"ENSG00000220948"	0	0	0	0	0	0
"ENSG00000254764"	0	0	0	0	0	0
"ENSG00000205044"	0	0	0	0	0	0
"ENSG00000182053"	0	0	0	0	0	0
"ENSG00000214891"	0	0	0	0	0	0
"ENSG00000276637"	0	0	0	0	0	0
"ENSG00000254801"	28	20	32	48	35	26
"ENSG00000229361"	0	0	0	0	0	0
"ENSG00000255452"	0	0	0	0	0	0
"ENSG00000254412"	25	17	16	21	8	33
"ENSG00000255338"	0	0	0	0	0	0
"ENSG00000254993"	0	0	0	0	0	0
"ENSG00000254567"	0	0	0	0	0	0
"ENSG00000086205"	0	0	0	0	0	1
"ENSG00000255532"	0	0	0	0	0	0
"ENSG00000123447"	0	0	0	0	0	0
"ENSG00000254496"	0	0	0	0	0	0
"ENSG00000226268"	812	628	943	707	634	680
"ENSG00000205035"	0	0	0	0	0	0
"ENSG00000254487"	0	0	0	0	0	0
"ENSG00000255268"	0	0	0	0	0	0
"ENSG00000219061"	0	0	0	0	0	0
"ENSG00000265973"	0	0	0	0	0	0
"ENSG00000254714"	0	0	0	0	0	0
"ENSG00000255550"	0	0	0	0	0	0
"ENSG00000255214"	0	0	0	0	0	0
"ENSG00000255190"	0	0	0	0	0	0
"ENSG00000254800"	0	0	0	0	0	0
"ENSG00000255111"	2	0	0	0	0	2
"ENSG00000254408"	0	0	0	0	0	0
"ENSG00000254472"	0	0	0	0	0	0
"ENSG00000254637"	0	0	0	0	0	0
"ENSG00000254940"	0	0	0	0	0	0
"ENSG00000254624"	0	0	0	0	0	0
"ENSG00000258817"	0	0	0	0	0	0
"ENSG00000221954"	0	0	0	0	0	0
"ENSG00000260811"	0	0	0	0	0	0
"ENSG00000260595"	0	0	0	0	0	0
"ENSG00000255199"	0	0	0	0	0	0
"ENSG00000255442"	0	0	0	0	0	0
"ENSG00000236919"	0	0	0	0	0	0
"ENSG00000255500"	1943	1199	1695	1396	1346	1389
"ENSG00000255042"	0	0	2	0	0	0
"ENSG00000255001"	0	0	0	0	0	0
"ENSG00000254518"	0	0	0	0	0	0
"ENSG00000254840"	0	0	0	0	0	0
"ENSG00000214883"	4	0	0	4	0	0
"ENSG00000237610"	0	0	0	0	0	0
"ENSG00000185926"	0	0	0	0	0	0
"ENSG00000255312"	0	0	0	0	0	0
"ENSG00000255560"	0	0	0	0	0	0
"ENSG00000254769"	0	0	0	0	0	0
"ENSG00000254464"	0	0	0	0	0	0
"ENSG00000227547"	0	0	0	0	0	0
"ENSG00000225997"	0	0	0	0	0	0
"ENSG00000255349"	0	0	0	0	0	0
"ENSG00000221840"	0	0	0	0	0	0
"ENSG00000255078"	0	0	0	0	0	0
"ENSG00000264637"	2	0	0	0	0	0
"ENSG00000150244"	0	0	0	0	0	0
"ENSG00000255543"	0	0	0	0	0	0
"ENSG00000255283"	0	0	0	0	0	0
"ENSG00000255110"	0	0	0	0	0	0
"ENSG00000254696"	0	0	0	0	0	0
"ENSG00000166007"	0	0	0	0	0	0
"ENSG00000254828"	0	0	0	0	0	0
"ENSG00000254663"	0	0	0	0	0	0
"ENSG00000254723"	0	0	0	0	0	0
"ENSG00000181961"	0	0	0	0	0	0
"ENSG00000181958"	0	0	0	0	0	0
"ENSG00000254891"	0	0	0	0	0	0
"ENSG00000255077"	0	0	0	0	0	0
"ENSG00000255493"	0	0	0	0	0	0
"ENSG00000254886"	0	0	0	0	0	0
"ENSG00000255196"	0	0	0	0	0	0
"ENSG00000181950"	0	0	0	0	0	0
"ENSG00000255294"	0	0	0	0	0	0
"ENSG00000254962"	0	0	0	0	0	0
"ENSG00000181943"	0	0	0	0	0	0
"ENSG00000254576"	0	0	0	0	0	0
"ENSG00000233301"	0	0	0	0	0	0
"ENSG00000181939"	0	0	0	0	0	0
"ENSG00000279514"	0	0	0	0	0	0
"ENSG00000181935"	0	0	0	0	0	0
"ENSG00000172188"	0	0	0	0	0	0
"ENSG00000181927"	0	0	0	0	0	0
"ENSG00000174982"	0	0	0	0	0	0
"ENSG00000181903"	0	0	0	0	0	0
"ENSG00000254841"	0	0	0	0	0	0
"ENSG00000188439"	0	0	0	0	0	0
"ENSG00000254804"	0	0	0	0	0	0
"ENSG00000254457"	0	0	0	0	0	0
"ENSG00000186886"	0	0	0	0	0	0
"ENSG00000181837"	0	0	0	0	0	0
"ENSG00000279761"	0	0	0	0	0	0
"ENSG00000198877"	0	0	0	0	0	0
"ENSG00000255019"	0	0	0	0	0	0
"ENSG00000186113"	0	0	0	0	0	0
"ENSG00000279395"	0	0	0	0	0	0
"ENSG00000186117"	0	0	0	0	0	0
"ENSG00000186119"	0	0	0	0	0	0
"ENSG00000205030"	0	0	0	0	0	0
"ENSG00000205029"	0	0	0	0	0	0
"ENSG00000186124"	0	0	0	0	0	0
"ENSG00000255204"	0	0	0	0	0	0
"ENSG00000255499"	0	0	0	0	0	0
"ENSG00000254547"	0	0	0	0	0	0
"ENSG00000124900"	0	0	0	0	0	0
"ENSG00000227806"	0	0	0	0	0	0
"ENSG00000187612"	0	0	0	0	0	0
"ENSG00000167825"	0	0	0	0	0	0
"ENSG00000255416"	0	0	0	0	0	0
"ENSG00000254807"	0	0	0	0	0	0
"ENSG00000174970"	0	0	0	0	0	0
"ENSG00000214880"	0	0	0	0	0	0
"ENSG00000149133"	0	0	0	0	0	0
"ENSG00000182365"	0	0	0	0	0	0
"ENSG00000181785"	0	0	0	0	0	0
"ENSG00000184741"	0	0	0	0	0	0
"ENSG00000181780"	0	0	0	0	0	0
"ENSG00000225538"	0	0	0	0	0	0
"ENSG00000172154"	0	0	0	0	0	0
"ENSG00000254524"	0	0	0	0	0	0
"ENSG00000181767"	0	0	0	0	0	0
"ENSG00000255140"	0	0	0	0	0	0
"ENSG00000181761"	0	0	0	0	0	0
"ENSG00000254848"	0	0	0	0	0	0
"ENSG00000167822"	0	0	0	0	0	0
"ENSG00000254947"	0	0	0	0	0	0
"ENSG00000181752"	0	0	0	0	0	0
"ENSG00000255217"	0	0	0	0	0	0
"ENSG00000174957"	0	0	0	0	0	0
"ENSG00000230213"	0	0	0	0	0	0
"ENSG00000213604"	159	100	173	144	127	109
"ENSG00000254658"	0	0	0	0	0	0
"ENSG00000181718"	0	0	0	0	0	0
"ENSG00000172489"	0	0	0	0	0	0
"ENSG00000181698"	0	0	0	0	0	0
"ENSG00000181693"	0	0	0	0	0	0
"ENSG00000255461"	0	0	0	0	0	0
"ENSG00000181689"	0	0	0	0	0	0
"ENSG00000280314"	0	0	0	0	0	0
"ENSG00000254722"	33	17	42	23	27	31
"ENSG00000255134"	0	0	0	0	0	0
"ENSG00000150261"	0	0	0	0	0	0
"ENSG00000242208"	1510	844	1455	1064	1000	972
"ENSG00000172487"	0	0	0	0	0	0
"ENSG00000172199"	0	0	0	0	0	0
"ENSG00000254903"	0	0	0	0	0	0
"ENSG00000255466"	0	0	0	0	0	0
"ENSG00000272987"	0	0	0	0	0	0
"ENSG00000181395"	0	0	0	0	0	0
"ENSG00000174942"	0	0	0	0	0	0
"ENSG00000279961"	0	0	0	0	0	0
"ENSG00000230416"	0	0	0	0	0	0
"ENSG00000150269"	0	0	0	0	0	0
"ENSG00000174937"	0	0	0	0	0	0
"ENSG00000254752"	0	0	0	0	0	0
"ENSG00000181371"	0	0	0	0	0	0
"ENSG00000254411"	0	0	2	2	0	0
"ENSG00000254490"	0	0	0	0	0	0
"ENSG00000254660"	0	0	0	0	0	0
"ENSG00000254603"	0	0	0	0	0	0
"ENSG00000185701"	0	0	0	0	0	0
"ENSG00000255223"	0	0	0	0	0	0
"ENSG00000254834"	0	0	0	0	0	0
"ENSG00000166693"	0	0	0	0	0	0
"ENSG00000255012"	0	0	0	0	0	0
"ENSG00000255172"	0	0	0	0	0	0
"ENSG00000197866"	0	0	0	0	0	0
"ENSG00000254795"	0	0	0	0	0	0
"ENSG00000172464"	0	0	0	0	0	0
"ENSG00000172459"	0	0	0	0	0	0
"ENSG00000279911"	0	0	0	0	0	0
"ENSG00000232511"	0	0	0	0	0	0
"ENSG00000238041"	549	346	484	440	442	428
"ENSG00000174914"	0	0	0	0	0	0
"ENSG00000254953"	205	156	247	238	223	252
"ENSG00000181325"	0	0	0	0	0	0
"ENSG00000172457"	0	0	0	0	0	0
"ENSG00000274770"	0	0	0	0	0	0
"ENSG00000254825"	0	0	0	0	0	0
"ENSG00000181296"	0	0	0	0	0	0
"ENSG00000255485"	0	0	0	0	0	0
"ENSG00000205025"	0	0	0	0	0	0
"ENSG00000241356"	0	0	0	0	0	0
"ENSG00000255433"	0	0	0	0	0	0
"ENSG00000274150"	0	0	0	0	0	0
"ENSG00000181282"	0	0	0	0	0	0
"ENSG00000181273"	0	0	0	0	0	0
"ENSG00000255083"	0	0	0	0	0	0
"ENSG00000273228"	0	0	0	0	0	0
"ENSG00000224196"	0	0	0	0	0	0
"ENSG00000272676"	0	0	0	0	0	0
"ENSG00000273255"	0	0	0	0	0	0
"ENSG00000183908"	0	0	0	0	0	0
"ENSG00000134817"	0	0	0	0	0	0
"ENSG00000149115"	6331	3927	6628	6311	5379	5793
"ENSG00000254662"	3	0	0	6	4	4
"ENSG00000149136"	8854	5856	9971	8029	7537	8118
"ENSG00000109991"	2	0	0	1	0	1
"ENSG00000266018"	0	0	0	0	0	0
"ENSG00000156575"	0	0	0	0	0	0
"ENSG00000186652"	0	0	0	0	0	0
"ENSG00000254979"	0	0	0	0	0	0
"ENSG00000134802"	2	0	0	0	0	0
"ENSG00000252070"	0	0	0	0	0	0
"ENSG00000222998"	0	0	0	0	0	0
