"DMSO_1"	"DMSO_2"	"DMSO_3"	"NCEG2_1"	"NCEG2_2"	"NCEG2_3"
"ENSG00000259685"	0	0	0	2	0	0
"ENSG00000185033"	2282	2681	2441	3364	3728	4055
"ENSG00000240470"	0	0	0	0	0	0
"ENSG00000225193"	64	101	73	87	106	98
"ENSG00000185043"	871	949	978	1013	1187	1163
"ENSG00000183208"	151	118	120	117	92	122
"ENSG00000213471"	14	11	13	10	13	12
"ENSG00000261147"	6	5	2	2	4	0
"ENSG00000182768"	886	732	880	548	818	691
"ENSG00000275674"	0	0	0	0	0	0
"ENSG00000228998"	0	0	0	0	0	0
"ENSG00000270322"	0	0	0	0	0	0
"ENSG00000275345"	1	0	0	0	4	0
"ENSG00000271396"	10	5	11	13	10	7
"ENSG00000214433"	5	6	1	0	2	4
"ENSG00000275803"	0	0	0	0	0	0
"ENSG00000221309"	0	0	0	0	0	0
"ENSG00000279980"	5	1	0	0	0	0
"ENSG00000238244"	0	0	0	0	0	0
"ENSG00000196391"	189	155	140	110	134	144
"ENSG00000259262"	2	0	0	0	0	0
"ENSG00000140575"	6960	6993	6763	6351	7556	7062
"ENSG00000259177"	0	0	0	0	2	2
"ENSG00000140577"	1005	919	981	760	911	897
"ENSG00000259212"	27	21	14	14	24	9
"ENSG00000259314"	2	1	3	5	6	5
"ENSG00000259736"	12	9	0	3	10	4
"ENSG00000259746"	948	878	1035	1081	1519	1236
"ENSG00000278370"	0	0	0	0	0	2
"ENSG00000245479"	0	0	0	0	0	0
"ENSG00000197299"	523	565	598	550	740	657
"ENSG00000200677"	4	4	5	2	10	4
"ENSG00000259704"	0	0	0	0	0	0
"ENSG00000241869"	0	0	0	0	0	0
"ENSG00000140564"	1657	1474	1560	1129	1428	1446
"ENSG00000182511"	11	10	13	5	18	3
"ENSG00000196547"	1154	937	1070	770	1004	947
"ENSG00000259661"	0	0	0	0	0	0
"ENSG00000184508"	169	127	162	121	148	85
"ENSG00000140553"	1624	1490	1485	1152	1332	1351
"ENSG00000224441"	5	2	2	4	0	0
"ENSG00000258384"	10	12	10	8	14	11
"ENSG00000166965"	653	704	735	834	936	924
"ENSG00000198901"	2302	2455	2590	2650	3235	2952
"ENSG00000258725"	8	6	13	8	22	10
"ENSG00000200142"	0	0	0	0	1	1
"ENSG00000184056"	210	185	175	173	199	178
"ENSG00000214432"	2	10	8	5	4	10
"ENSG00000278514"	4	4	4	5	0	2
"ENSG00000258542"	0	0	0	0	0	0
"ENSG00000275929"	0	0	0	0	0	0
"ENSG00000258665"	0	0	0	0	0	0
"ENSG00000185518"	0	0	0	0	0	0
"ENSG00000258551"	0	0	0	0	0	0
"ENSG00000258954"	0	0	0	0	0	0
"ENSG00000258765"	0	0	0	0	2	0
"ENSG00000258540"	0	0	0	0	0	0
"ENSG00000259057"	0	1	2	0	0	0
"ENSG00000176463"	0	0	0	0	2	0
"ENSG00000260661"	0	0	0	0	0	0
"ENSG00000258761"	0	0	0	0	0	0
"ENSG00000258726"	0	0	0	0	0	0
"ENSG00000258925"	76	68	67	117	127	83
"ENSG00000140557"	0	0	0	0	0	0
"ENSG00000239197"	0	0	0	0	0	0
"ENSG00000258739"	0	0	0	0	0	0
"ENSG00000259170"	0	0	0	0	0	0
"ENSG00000183643"	0	0	0	0	0	0
"ENSG00000279316"	0	0	0	0	0	0
"ENSG00000258647"	0	0	0	0	0	0
"ENSG00000258676"	0	0	0	0	0	0
"ENSG00000260337"	0	0	0	0	0	0
"ENSG00000271763"	0	0	0	0	0	0
"ENSG00000185442"	21	1	15	14	22	13
"ENSG00000259064"	0	0	0	0	0	0
"ENSG00000275965"	0	0	0	0	0	0
"ENSG00000272298"	0	0	0	0	0	0
"ENSG00000253954"	2284	2175	2501	2121	2901	2445
"ENSG00000258741"	4025	3868	3811	3179	3992	3584
"ENSG00000240484"	0	0	0	0	0	0
"ENSG00000258562"	0	0	0	4	0	0
"ENSG00000260361"	18	9	16	14	18	4
"ENSG00000258527"	64	87	61	52	115	74
"ENSG00000258922"	4	0	2	2	0	0
"ENSG00000274215"	0	0	0	1	0	0
"ENSG00000275175"	0	0	1	2	0	0
"ENSG00000272888"	821	816	771	753	929	764
"ENSG00000173575"	4173	3888	3991	3236	4193	3654
"ENSG00000279765"	0	0	0	0	0	0
"ENSG00000264173"	0	0	0	0	0	0
"ENSG00000182175"	13	7	8	16	17	9
"ENSG00000258611"	191	203	170	252	294	322
"ENSG00000280076"	0	0	0	0	0	0
"ENSG00000258888"	0	0	0	0	0	0
"ENSG00000212063"	0	0	0	0	0	0
"ENSG00000258971"	0	0	0	0	0	0
"ENSG00000257060"	0	0	0	0	0	0
"ENSG00000258909"	0	0	0	0	0	0
"ENSG00000258787"	47	29	24	16	26	30
"ENSG00000258631"	0	0	0	0	0	0
"ENSG00000258754"	0	0	0	0	0	0
"ENSG00000258627"	0	0	0	0	0	0
"ENSG00000259123"	0	0	0	0	0	0
"ENSG00000258476"	0	0	0	0	0	0
"ENSG00000258831"	0	0	0	0	0	0
"ENSG00000222409"	0	0	0	0	0	0
"ENSG00000258785"	0	0	0	0	0	0
"ENSG00000259724"	0	0	0	0	0	0
"ENSG00000258895"	1566	1455	1575	1414	1795	1803
"ENSG00000212022"	0	0	0	0	0	0
"ENSG00000258570"	0	0	0	0	0	0
"ENSG00000140563"	0	0	1	0	0	0
"ENSG00000258632"	0	0	0	0	0	0
"ENSG00000259331"	0	0	0	0	0	0
"ENSG00000277654"	0	0	0	0	0	0
"ENSG00000260521"	4040	3490	3624	3073	3659	3648
"ENSG00000270017"	0	0	0	0	0	0
"ENSG00000258433"	0	0	0	0	0	0
"ENSG00000258773"	0	0	0	0	0	0
"ENSG00000248441"	0	0	0	0	0	0
"ENSG00000273923"	0	0	0	0	0	0
"ENSG00000280304"	0	0	0	0	0	0
"ENSG00000259134"	0	0	0	0	0	0
"ENSG00000258489"	0	0	0	0	0	0
"ENSG00000275016"	228	219	248	231	262	245
"ENSG00000222076"	0	0	0	2	0	0
"ENSG00000275443"	2	4	2	8	2	1
"ENSG00000259348"	0	0	0	0	0	0
"ENSG00000259702"	0	0	0	0	0	0
"ENSG00000273771"	13	22	18	12	35	20
"ENSG00000247809"	227	185	199	216	187	158
"ENSG00000280048"	2	10	12	2	6	8
"ENSG00000277135"	10	5	14	16	22	26
"ENSG00000259359"	7	9	2	3	14	6
"ENSG00000278146"	0	3	2	4	0	4
"ENSG00000259763"	4	8	4	4	2	4
"ENSG00000279645"	7	3	2	2	6	4
"ENSG00000280291"	6	2	2	2	6	0
"ENSG00000185551"	1636	1413	1455	1498	1962	1689
"ENSG00000222651"	0	0	0	0	0	0
"ENSG00000275322"	4	2	8	3	14	4
"ENSG00000259275"	15	11	38	16	12	10
"ENSG00000259614"	2	2	2	4	0	2
"ENSG00000259542"	0	0	0	0	2	0
"ENSG00000259312"	2	0	0	0	0	0
"ENSG00000250825"	4	0	2	0	2	0
"ENSG00000242295"	6	0	1	18	3	4
"ENSG00000259534"	0	0	0	0	0	0
"ENSG00000222617"	0	0	0	0	0	0
"ENSG00000274079"	0	0	0	0	0	0
"ENSG00000259340"	579	546	603	641	891	713
"ENSG00000214424"	387	384	424	334	350	336
"ENSG00000259282"	7	7	15	6	3	6
"ENSG00000185594"	11	40	24	22	36	12
"ENSG00000223120"	0	0	0	0	0	0
"ENSG00000215948"	0	0	0	0	0	0
"ENSG00000259403"	0	0	0	0	0	0
"ENSG00000259485"	0	0	0	0	0	0
"ENSG00000242863"	0	0	0	0	0	0
"ENSG00000259664"	0	0	0	0	0	0
"ENSG00000251729"	0	0	0	0	0	0
"ENSG00000279091"	0	6	0	2	0	0
"ENSG00000259582"	2	0	0	0	0	0
"ENSG00000251209"	33	45	42	23	32	21
"ENSG00000259870"	0	0	0	0	0	0
"ENSG00000140450"	182	77	98	51	47	32
"ENSG00000259478"	2	0	0	0	0	0
"ENSG00000258483"	0	0	0	0	0	0
"ENSG00000252477"	0	0	0	0	0	0
"ENSG00000259199"	0	0	0	0	0	0
"ENSG00000222361"	0	0	0	0	0	0
"ENSG00000259611"	0	0	0	0	0	0
"ENSG00000259266"	0	0	0	0	0	0
"ENSG00000259320"	0	0	0	0	0	0
"ENSG00000259041"	0	0	0	0	0	0
"ENSG00000274312"	0	0	0	0	0	0
"ENSG00000277987"	0	0	0	0	2	0
"ENSG00000185087"	0	0	0	0	0	0
"ENSG00000259507"	0	0	0	0	0	0
"ENSG00000259424"	3	8	8	0	2	5
"ENSG00000140443"	1501	1380	1491	1184	1436	1297
"ENSG00000278022"	0	0	0	0	0	0
"ENSG00000264480"	0	0	0	0	0	0
"ENSG00000259621"	2	0	0	0	2	0
"ENSG00000259475"	4	2	6	3	6	6
"ENSG00000183571"	2	0	0	0	0	2
"ENSG00000278090"	6	2	10	2	12	14
"ENSG00000182253"	1454	1522	1379	1097	1326	1297
"ENSG00000261054"	15	11	4	18	16	3
"ENSG00000103852"	521	513	480	369	491	429
"ENSG00000261616"	28	26	26	15	36	30
"ENSG00000259921"	10	12	8	6	10	4
"ENSG00000168904"	588	437	501	403	419	353
"ENSG00000264771"	0	2	0	0	0	0
"ENSG00000259706"	21719	22208	22075	18330	22670	20932
"ENSG00000259228"	6	2	0	2	0	2
"ENSG00000259257"	2	2	2	2	0	0
"ENSG00000259590"	0	0	2	2	2	0
"ENSG00000259760"	1	4	2	0	2	0
"ENSG00000274294"	0	6	0	2	2	4
"ENSG00000259341"	0	0	0	0	0	0
"ENSG00000279846"	0	0	0	0	0	0
"ENSG00000241562"	0	0	2	0	2	0
"ENSG00000068305"	1924	1514	1546	1101	1345	1266
"ENSG00000201724"	0	2	1	1	2	0
"ENSG00000183060"	338	282	358	248	318	266
"ENSG00000221691"	0	0	0	0	0	0
"ENSG00000182397"	17	19	9	9	18	5
"ENSG00000259655"	0	0	0	0	0	0
"ENSG00000241588"	0	0	0	0	0	0
"ENSG00000221511"	0	0	0	0	0	0
"ENSG00000259363"	71	65	88	54	89	70
"ENSG00000254744"	2	0	0	0	0	1
"ENSG00000140470"	4	8	16	4	8	2
"ENSG00000259219"	4	0	2	2	2	0
"ENSG00000252957"	0	0	0	0	0	0
"ENSG00000259356"	0	0	0	0	0	2
"ENSG00000189419"	0	0	0	0	0	0
"ENSG00000259430"	0	0	0	0	0	0
"ENSG00000154227"	0	0	0	2	0	0
"ENSG00000270127"	15	9	20	19	24	21
"ENSG00000251819"	6	5	4	0	2	2
"ENSG00000259205"	171	122	134	116	172	134
"ENSG00000259540"	3	2	0	2	1	6
"ENSG00000140471"	307	298	331	239	309	284
"ENSG00000200095"	1	3	2	2	2	0
"ENSG00000183475"	758	661	662	470	509	544
"ENSG00000212306"	0	2	0	2	0	0
"ENSG00000259381"	273	321	297	263	336	327
"ENSG00000259579"	0	0	0	0	0	0
"ENSG00000279588"	0	0	0	0	0	0
"ENSG00000259586"	0	0	0	0	0	0
"ENSG00000232386"	4	2	10	3	8	6
"ENSG00000272808"	20	20	13	10	6	35
"ENSG00000259604"	2	0	0	0	0	0
"ENSG00000272639"	0	0	0	0	0	0
"ENSG00000184254"	0	5	2	0	2	0
"ENSG00000278456"	0	0	0	0	0	0
"ENSG00000259583"	13	17	2	18	25	7
"ENSG00000154237"	289	283	320	174	250	287
"ENSG00000259376"	10	9	20	6	9	10
"ENSG00000259755"	28	22	27	17	17	11
"ENSG00000259365"	4	0	0	0	0	0
"ENSG00000259182"	0	0	0	0	0	0
"ENSG00000131873"	1065	1016	1146	924	1177	1099
"ENSG00000131871"	438	379	393	260	345	349
"ENSG00000131876"	380	346	420	326	397	390
"ENSG00000259172"	22	1	9	14	6	11
"ENSG00000140479"	22	30	27	22	21	26
"ENSG00000279970"	7	1	10	4	10	4
"ENSG00000259764"	0	0	0	0	0	0
"ENSG00000274139"	0	0	0	0	0	0
"ENSG00000277210"	0	0	0	0	0	2
"ENSG00000259464"	0	0	0	0	0	0
"ENSG00000259695"	0	0	0	0	0	0
"ENSG00000273585"	0	0	0	0	0	0
"ENSG00000184277"	404	451	431	308	374	320
"ENSG00000252614"	12	1	2	2	2	0
"ENSG00000185418"	377	299	348	274	349	319
"ENSG00000259658"	91	73	87	64	100	92
"ENSG00000259660"	660	570	609	434	526	490
"ENSG00000259236"	17	21	19	12	21	8
"ENSG00000277814"	0	0	0	0	0	0
"ENSG00000240927"	0	0	0	0	2	3
"ENSG00000274913"	0	0	0	0	0	0
"ENSG00000184140"	0	0	0	0	0	0
"ENSG00000182854"	0	0	0	0	0	0
"ENSG00000232459"	0	0	0	0	0	0
"ENSG00000214344"	0	0	0	0	0	0
"ENSG00000257109"	0	0	0	0	0	0
"ENSG00000259454"	0	0	0	0	0	0
"ENSG00000259646"	0	0	0	0	0	0
"ENSG00000177693"	0	0	0	0	0	0
"ENSG00000183909"	0	0	0	0	0	0
"ENSG00000275771"	1	0	1	2	3	3
"ENSG00000248893"	0	0	0	0	2	0
"ENSG00000259553"	2	9	10	5	2	3
"ENSG00000275690"	0	0	0	2	0	0
"ENSG00000185596"	880	818	880	711	875	791
"ENSG00000275449"	44	42	50	21	34	31
"ENSG00000248472"	19	13	12	14	10	10
"ENSG00000274700"	0	0	0	0	0	0
"ENSG00000277278"	0	0	0	0	0	0
"ENSG00000274801"	0	0	0	0	0	0
"ENSG00000276455"	0	0	0	0	0	0
"ENSG00000275855"	0	0	0	0	0	0
"ENSG00000276896"	0	0	0	0	0	0
"ENSG00000274122"	0	0	0	0	0	0
"ENSG00000275697"	0	0	0	0	0	0
"ENSG00000276143"	0	0	0	0	0	0
"ENSG00000274931"	0	0	0	0	0	0
"ENSG00000273635"	0	0	0	0	0	0
"ENSG00000273969"	0	0	0	0	0	0
"ENSG00000274715"	0	0	0	0	0	0
"ENSG00000274192"	0	0	0	0	0	0
"ENSG00000273651"	0	0	0	0	0	0
"ENSG00000277834"	0	0	0	0	0	0
"ENSG00000276767"	0	0	0	0	0	0
"ENSG00000276485"	0	0	0	0	0	0
"ENSG00000276005"	0	0	0	0	0	0
"ENSG00000277848"	0	0	0	0	0	0
"ENSG00000277380"	0	0	0	0	0	0
"ENSG00000277844"	0	0	0	0	0	0
"ENSG00000278673"	2920	2658	2788	2307	2891	2695
"ENSG00000277890"	0	0	0	2	0	0
"ENSG00000273646"	0	0	0	0	0	0
"ENSG00000277666"	45	29	42	25	60	47
"ENSG00000276579"	0	0	0	0	0	0
"ENSG00000276760"	0	0	0	0	0	0
"ENSG00000277927"	0	0	0	0	0	0
"ENSG00000273766"	0	0	0	0	0	0
"ENSG00000275249"	0	0	0	0	0	0
"ENSG00000274792"	0	0	0	0	0	0
"ENSG00000276872"	0	0	0	0	0	0
"ENSG00000276856"	0	0	0	0	0	0
"ENSG00000275009"	0	0	0	0	0	0
"ENSG00000278070"	0	0	0	0	0	0
"ENSG00000274040"	0	0	0	0	0	0
"ENSG00000277902"	0	0	0	0	0	0
"ENSG00000277674"	0	0	0	0	0	0
"ENSG00000207390"	0	0	0	0	0	0
"ENSG00000273686"	0	0	0	0	0	0
"ENSG00000278211"	0	0	0	0	0	0
"ENSG00000273845"	0	0	0	0	0	0
"ENSG00000273636"	0	0	0	0	0	0
"ENSG00000274042"	0	0	0	0	0	0
"ENSG00000273861"	0	0	0	0	0	0
"ENSG00000275573"	0	0	0	0	0	0
"ENSG00000275049"	0	0	0	0	0	0
"ENSG00000274166"	0	0	0	0	0	0
"ENSG00000273673"	0	0	0	0	0	0
"ENSG00000274320"	0	0	0	0	0	0
"ENSG00000276228"	0	0	0	0	0	0
"ENSG00000273652"	0	0	0	0	0	0
"ENSG00000278229"	0	0	0	0	0	0
"ENSG00000277445"	0	0	0	0	0	0
"ENSG00000278429"	0	0	0	0	0	0
"ENSG00000276303"	0	0	0	0	0	0
"ENSG00000276377"	0	0	0	0	0	0
"ENSG00000274404"	0	0	0	0	0	0
"ENSG00000276344"	0	0	0	0	0	0
"ENSG00000276062"	0	0	0	0	0	0
"ENSG00000274240"	0	0	0	0	0	0
"ENSG00000275809"	0	0	0	0	0	0
"ENSG00000276658"	0	0	0	0	0	0
"ENSG00000274439"	0	0	0	0	0	0
"ENSG00000276265"	0	0	0	0	0	0
"ENSG00000278699"	0	0	0	0	0	0
"ENSG00000273624"	0	0	0	0	0	0
"ENSG00000275561"	0	0	0	0	0	0
"ENSG00000278776"	0	0	0	0	0	0
"ENSG00000278178"	0	0	0	0	0	0
"ENSG00000274846"	0	0	0	0	0	0
"ENSG00000277361"	0	0	0	0	0	0
"ENSG00000276802"	0	0	0	0	0	0
"ENSG00000273716"	0	0	0	0	0	0
"ENSG00000278310"	0	0	0	0	0	0
"ENSG00000273839"	0	0	0	0	0	0
"ENSG00000274337"	0	0	0	0	0	0
"ENSG00000273995"	0	0	0	0	0	0
"ENSG00000277407"	0	0	0	0	0	0
"ENSG00000277090"	0	0	0	0	0	0
"ENSG00000276000"	0	0	0	0	0	0
"ENSG00000278003"	0	0	0	0	0	0
"ENSG00000278186"	0	0	0	0	0	0
"ENSG00000278168"	0	0	0	0	0	0
"ENSG00000275257"	0	0	0	0	0	0
"ENSG00000276495"	0	0	0	0	0	0
"ENSG00000273564"	0	0	0	0	0	0
"ENSG00000276132"	0	0	0	0	0	0
"ENSG00000277401"	0	0	0	0	0	0
"ENSG00000272101"	0	0	0	0	0	0
"ENSG00000278119"	0	0	0	0	0	0
"ENSG00000276120"	0	0	0	0	0	0
"ENSG00000276360"	0	0	0	0	0	0
"ENSG00000275394"	0	0	0	0	0	0
"ENSG00000273660"	0	0	0	0	0	0
"ENSG00000275941"	0	0	0	0	0	0
"ENSG00000276253"	0	0	0	0	0	0
"ENSG00000277419"	0	0	0	0	0	0
"ENSG00000275698"	0	0	0	0	0	0
"ENSG00000275917"	0	0	0	0	0	0
"ENSG00000276367"	0	0	0	0	0	0
"ENSG00000273959"	0	0	0	0	0	0
"ENSG00000278118"	0	0	0	0	0	0
"ENSG00000276439"	0	0	0	0	0	0
"ENSG00000276129"	0	0	0	0	0	0
"ENSG00000275648"	0	0	0	0	0	0
"ENSG00000277167"	0	0	0	0	0	0
"ENSG00000275556"	0	0	0	0	0	0
"ENSG00000274734"	0	0	0	0	0	0
"ENSG00000277980"	0	0	0	0	0	0
"ENSG00000276152"	0	0	0	0	0	0
"ENSG00000277195"	0	0	0	0	0	0
"ENSG00000276787"	0	0	0	0	0	0
"ENSG00000277086"	0	0	0	0	0	0
"ENSG00000277262"	0	0	0	0	0	0
"ENSG00000274965"	0	0	0	0	0	0
"ENSG00000274595"	0	0	0	0	0	0
"ENSG00000275746"	0	0	0	0	0	0
"ENSG00000273538"	0	0	0	0	0	0
"ENSG00000274542"	0	0	0	0	0	0
"ENSG00000278470"	0	0	0	0	0	0
"ENSG00000276847"	0	0	0	0	0	0
"ENSG00000274257"	0	0	0	0	0	0
"ENSG00000278115"	0	0	0	0	0	0
"ENSG00000277309"	0	0	0	0	0	0
"ENSG00000275568"	0	0	0	0	0	0
"ENSG00000277614"	0	0	0	0	0	0
"ENSG00000276886"	0	0	0	0	0	0
"ENSG00000278247"	0	0	0	0	0	0
"ENSG00000278508"	0	0	0	0	0	0
"ENSG00000277046"	0	0	0	0	0	0
"ENSG00000276361"	0	0	0	0	0	0
"ENSG00000275081"	0	0	0	0	0	0
"ENSG00000233614"	12	2	1	4	2	0
"ENSG00000234769"	429	414	398	324	413	398
"ENSG00000278739"	0	0	0	0	0	0
"ENSG00000260803"	0	0	4	0	0	0
"ENSG00000231439"	2	4	5	0	2	2
"ENSG00000226942"	9	18	10	27	15	20
"ENSG00000161980"	442	424	403	402	469	466
"ENSG00000161981"	770	645	723	665	845	740
"ENSG00000007384"	771	680	785	596	723	674
"ENSG00000278995"	0	0	0	2	1	2
"ENSG00000103152"	811	667	731	570	742	713
"ENSG00000103148"	1207	1108	1132	1065	1256	1199
"ENSG00000269482"	0	0	0	0	0	0
"ENSG00000228779"	14	8	6	8	6	12
"ENSG00000130656"	0	4	6	14	4	2
"ENSG00000206177"	1	0	0	1	0	0
"ENSG00000206178"	1	0	0	0	0	0
"ENSG00000225323"	1	2	0	0	0	0
"ENSG00000188536"	2	4	2	0	0	0
"ENSG00000206172"	0	0	4	4	0	5
"ENSG00000207243"	3	0	2	0	2	0
"ENSG00000086506"	146	144	112	177	178	164
"ENSG00000268836"	10	9	3	7	7	6
"ENSG00000007392"	1719	1514	1594	1114	1401	1313
"ENSG00000206168"	147	126	82	96	106	78
"ENSG00000167930"	1985	1866	1932	1358	1681	1574
"ENSG00000269881"	8	2	14	0	3	2
"ENSG00000076344"	29	21	27	11	15	22
"ENSG00000242173"	9	12	16	2	6	4
"ENSG00000185615"	6	9	11	7	2	2
"ENSG00000103126"	1979	1766	1856	1594	1862	1845
"ENSG00000086504"	2629	2374	2519	2559	2839	2680
"ENSG00000129925"	2702	2566	2790	2058	2513	2469
"ENSG00000236829"	27	33	31	37	48	28
"ENSG00000103202"	4692	4641	4927	5142	6415	5866
"ENSG00000242612"	747	686	716	629	754	744
"ENSG00000276984"	2	4	4	0	5	2
"ENSG00000090565"	1660	1454	1656	1192	1472	1419
"ENSG00000201034"	0	2	0	0	2	0
"ENSG00000230428"	0	0	0	0	0	0
"ENSG00000277142"	62	93	69	74	71	54
"ENSG00000103326"	2357	2016	2382	2150	2716	2731
"ENSG00000266124"	20	19	15	13	19	18
"ENSG00000266235"	35	33	33	23	33	20
"ENSG00000261691"	0	0	0	0	0	0
"ENSG00000161992"	2	0	6	2	0	5
"ENSG00000007541"	1430	1250	1381	1022	1212	1127
"ENSG00000257108"	14	4	6	8	4	6
"ENSG00000197562"	1265	1176	1309	984	1103	1121
"ENSG00000127578"	66	71	74	41	47	49
"ENSG00000130731"	1177	1076	1155	1160	1408	1332
"ENSG00000172366"	706	590	654	647	818	737
"ENSG00000102854"	40	42	15	33	43	31
"ENSG00000228201"	6	0	0	4	2	0
"ENSG00000161996"	1363	1310	1395	1372	1720	1726
"ENSG00000262528"	0	0	0	0	0	0
"ENSG00000140983"	2093	1954	2201	1851	2278	2207
"ENSG00000103269"	149	144	106	81	102	132
"ENSG00000260394"	16	7	6	4	8	9
"ENSG00000279441"	0	0	0	0	0	0
"ENSG00000103266"	1495	1341	1332	1150	1376	1328
"ENSG00000161999"	255	202	284	191	253	241
"ENSG00000127580"	519	498	512	412	447	462
"ENSG00000261659"	76	37	48	34	28	28
"ENSG00000127585"	820	742	906	731	940	902
"ENSG00000279255"	10	12	11	0	4	3
"ENSG00000259840"	5	6	0	2	2	0
"ENSG00000103260"	502	494	588	375	458	371
"ENSG00000103254"	417	334	449	326	349	364
"ENSG00000162004"	300	252	276	191	225	219
"ENSG00000103253"	587	524	635	606	763	685
"ENSG00000103245"	879	725	792	639	793	781
"ENSG00000279136"	0	0	0	2	0	2
"ENSG00000162006"	6	2	4	11	6	10
"ENSG00000207579"	0	0	0	0	0	0
"ENSG00000007376"	1164	1009	1072	952	1079	1112
"ENSG00000127586"	1683	1659	1783	1575	2012	2084
"ENSG00000127588"	12	2	10	0	8	6
"ENSG00000167945"	21	10	11	20	22	15
"ENSG00000275438"	0	0	0	0	0	0
"ENSG00000103227"	0	0	0	0	0	0
"ENSG00000260022"	0	0	0	0	0	0
"ENSG00000260316"	0	0	0	0	0	0
"ENSG00000260439"	0	0	0	0	0	0
"ENSG00000276931"	0	0	0	0	0	0
"ENSG00000260807"	0	0	0	0	0	0
"ENSG00000005513"	0	0	0	0	0	0
"ENSG00000260496"	0	0	0	0	0	0
"ENSG00000261713"	0	0	0	0	0	0
"ENSG00000261720"	0	0	0	0	0	0
"ENSG00000162009"	0	0	0	0	0	0
"ENSG00000184471"	0	0	0	0	0	0
"ENSG00000260702"	0	0	0	0	0	0
"ENSG00000260532"	0	0	0	0	0	0
"ENSG00000273551"	0	0	0	0	0	0
"ENSG00000196557"	0	0	0	0	0	0
"ENSG00000260403"	0	0	0	0	0	0
"ENSG00000259910"	0	0	0	0	0	0
"ENSG00000261294"	0	0	0	0	0	0
"ENSG00000116176"	0	0	0	0	0	0
"ENSG00000277010"	0	0	0	0	0	0
"ENSG00000197253"	0	0	0	0	0	0
"ENSG00000172236"	0	0	0	0	0	0
"ENSG00000095917"	1	0	0	0	0	8
"ENSG00000260182"	0	0	0	0	0	4
"ENSG00000196364"	0	0	0	0	0	2
"ENSG00000261564"	0	0	0	0	0	0
"ENSG00000260991"	0	0	0	0	0	0
"ENSG00000260284"	0	0	0	2	0	3
"ENSG00000260710"	0	0	0	4	5	2
"ENSG00000274751"	38	12	31	20	18	28
"ENSG00000103275"	2274	2098	2138	2125	2433	2406
"ENSG00000261505"	261	241	238	236	271	260
"ENSG00000219274"	10	10	19	8	13	6
"ENSG00000007516"	84	98	99	74	121	93
"ENSG00000007520"	746	605	670	552	707	600
"ENSG00000090581"	567	543	667	442	542	530
"ENSG00000260425"	17	29	15	15	28	23
"ENSG00000059145"	1117	940	1079	697	955	849
"ENSG00000265529"	6	2	2	3	2	8
"ENSG00000260132"	2	8	0	1	2	0
"ENSG00000174109"	383	400	443	388	517	411
"ENSG00000197599"	36	7	43	19	13	11
"ENSG00000279930"	22	12	3	2	2	2
"ENSG00000103249"	1344	1088	1296	913	1243	1106
"ENSG00000261641"	0	0	0	0	0	0
"ENSG00000260051"	90	99	99	83	114	98
"ENSG00000261430"	4	2	3	0	6	0
"ENSG00000219027"	2	2	0	0	2	0
"ENSG00000251692"	0	1	2	0	0	0
"ENSG00000100726"	854	793	887	775	1014	984
"ENSG00000187535"	1124	964	986	724	893	756
"ENSG00000260646"	10	6	3	8	8	6
"ENSG00000131634"	88	80	77	66	69	79
"ENSG00000280062"	9	16	7	9	6	9
"ENSG00000280231"	18	30	32	20	45	35
"ENSG00000280327"	5	12	22	25	16	15
"ENSG00000260954"	4	4	8	3	3	2
"ENSG00000260989"	3	13	6	2	4	3
"ENSG00000007545"	821	803	810	666	776	735
"ENSG00000226890"	0	0	0	2	0	0
"ENSG00000261732"	35	28	51	26	40	42
"ENSG00000206053"	6082	5767	5869	5582	6981	6697
"ENSG00000278987"	91	84	83	77	90	120
"ENSG00000138834"	4743	4138	4469	3293	4236	4129
"ENSG00000275092"	12	18	6	7	20	20
"ENSG00000261399"	2	2	6	0	5	6
"ENSG00000265820"	1	3	0	6	2	1
"ENSG00000261207"	87	54	77	59	52	80
"ENSG00000103024"	602	548	641	581	708	635
"ENSG00000074071"	3530	3193	3539	3608	4221	4071
"ENSG00000197774"	1282	1071	1280	934	944	1098
"ENSG00000162032"	9	8	11	2	5	13
"ENSG00000095906"	1395	1290	1427	1056	1292	1219
"ENSG00000099769"	22	13	22	7	8	10
"ENSG00000063854"	445	358	440	315	360	344
"ENSG00000180185"	1750	1662	1741	1397	1716	1783
"ENSG00000162039"	232	200	212	245	334	282
"ENSG00000260541"	2	9	3	2	2	4
"ENSG00000259947"	0	0	0	2	0	0
"ENSG00000162040"	0	0	0	0	0	0
"ENSG00000198736"	619	649	672	508	664	630
"ENSG00000140986"	45	48	38	45	30	25
"ENSG00000140990"	2319	2144	2471	2206	2862	2279
"ENSG00000140988"	15531	13149	14383	14836	18158	15228
"ENSG00000206811"	0	0	0	0	0	0
"ENSG00000207405"	0	0	0	0	0	0
"ENSG00000255513"	0	0	0	0	0	0
"ENSG00000255198"	50	74	55	70	54	67
"ENSG00000273587"	0	0	0	0	0	0
"ENSG00000179580"	4	13	7	4	4	1
"ENSG00000277602"	12	8	2	12	4	2
"ENSG00000183751"	898	805	859	775	953	899
"ENSG00000196408"	0	0	6	2	0	0
"ENSG00000127554"	587	493	626	564	619	523
"ENSG00000261790"	3	0	2	1	3	1
"ENSG00000127561"	354	352	375	369	486	419
"ENSG00000167962"	1918	1733	1867	1621	1955	1797
"ENSG00000260107"	0	0	0	0	0	0
