ensgene_id	NCEG2_1	NCEG2_2	NCEG2_3	DMSO_1	DMSO_2
"ENSG00000130940"	326	325	348	292	407
"ENSG00000163879"	94	73	86	87	102
"ENSG00000227527"	6	1	6	0	6
"ENSG00000116954"	292	224	278	310	333
"ENSG00000228589"	719	682	679	614	874
"ENSG00000163873"	0	10	0	4	4
"ENSG00000117215"	0	2	0	2	0
"ENSG00000230163"	0	0	0	0	0
"ENSG00000227538"	0	0	0	0	0
"ENSG00000044012"	0	0	2	0	0
"ENSG00000179051"	5487	5159	5382	4515	6342
"ENSG00000215895"	1839	1484	1688	1721	2424
"ENSG00000284650"	0	0	0	0	0
"ENSG00000237329"	208	275	328	247	366
"ENSG00000236948"	0	0	0	0	4
"ENSG00000126067"	4690	3444	4233	3171	4598
"ENSG00000274944"	9	4	4	12	7
"ENSG00000272078"	44	27	46	53	39
"ENSG00000230451"	0	0	0	0	0
"ENSG00000231606"	8	4	5	2	16
"ENSG00000215900"	49	30	45	12	27
"ENSG00000284632"	13	1	0	1	4
"ENSG00000241014"	9	19	7	14	19
"ENSG00000054118"	4373	3900	4099	3986	5468
"ENSG00000254553"	0	4	0	5	8
"ENSG00000284653"	0	0	0	0	0
"ENSG00000237749"	3	6	3	2	0
"ENSG00000276747"	0	2	2	4	0
"ENSG00000284705"	0	0	0	0	0
"ENSG00000228776"	0	0	0	0	0
"ENSG00000159339"	0	0	0	2	1
"ENSG00000261781"	0	0	0	0	0
"ENSG00000284743"	0	0	0	0	0
"ENSG00000158315"	97	112	96	97	80
"ENSG00000186973"	20	23	13	20	11
"ENSG00000146463"	4428	3995	4453	3694	4919
"ENSG00000271741"	0	0	0	0	0
"ENSG00000142686"	250	204	272	307	368
"ENSG00000224751"	371	297	326	307	452
"ENSG00000117148"	4	0	4	0	0
"ENSG00000230585"	122	121	194	152	160
"ENSG00000117000"	3644	3115	3669	3286	4467
"ENSG00000284989"	0	0	0	0	0
"ENSG00000231630"	0	0	0	0	0
"ENSG00000092853"	2546	2364	2644	2619	3282
"ENSG00000255811"	6	0	7	2	16
"ENSG00000134697"	1345	1148	1240	1082	1523
"ENSG00000187513"	9	18	22	28	18
"ENSG00000225142"	0	0	0	0	0
"ENSG00000230138"	0	0	0	0	0
"ENSG00000223390"	23	13	30	10	29
"ENSG00000284720"	0	0	0	0	0
"ENSG00000225671"	547	487	521	443	640
"ENSG00000116151"	410	425	450	471	605
"ENSG00000006555"	0	0	0	0	8
"ENSG00000236111"	0	0	0	0	0
"ENSG00000066056"	8	10	0	6	4
"ENSG00000214114"	802	819	740	767	982
"ENSG00000116544"	16	14	8	10	19
"ENSG00000231900"	0	0	0	0	0
"ENSG00000236723"	17	2	9	12	3
"ENSG00000232467"	698	607	773	668	873
"ENSG00000117016"	553	467	498	411	516
"ENSG00000169213"	1142	1100	1111	949	1153
"ENSG00000163866"	850	780	845	685	960
"ENSG00000237130"	51	63	68	69	70
"ENSG00000232335"	10	4	6	6	6
"ENSG00000260971"	67	51	54	47	85
"ENSG00000284696"	2	0	0	0	0
"ENSG00000238242"	0	0	0	2	0
"ENSG00000285839"	0	0	0	0	0
"ENSG00000232762"	38	68	36	43	37
"ENSG00000162384"	716	596	785	611	858
"ENSG00000162391"	12	8	17	6	17
"ENSG00000117859"	2651	2200	2801	2317	3130
"ENSG00000228121"	369	265	333	267	430
"ENSG00000253313"	0	0	0	0	0
"ENSG00000162396"	418	360	396	358	544
"ENSG00000284686"	14	11	6	8	16
"ENSG00000162378"	3520	3080	3573	3497	4653
"ENSG00000233079"	0	0	0	2	0
"ENSG00000259818"	54	56	59	52	46
"ENSG00000229444"	40	33	17	29	55
"ENSG00000240563"	0	5	2	2	4
"ENSG00000234318"	6	6	2	2	0
"ENSG00000284773"	17	32	20	37	38
"ENSG00000234481"	0	0	0	0	0
"ENSG00000117862"	46	63	57	71	73
"ENSG00000235612"	2	0	0	0	1
"ENSG00000228369"	38	25	32	54	31
"ENSG00000227485"	0	0	0	0	0
"ENSG00000224609"	46	60	49	49	98
"ENSG00000235545"	68	54	65	29	52
"ENSG00000236646"	556	446	430	522	622
"ENSG00000232198"	0	4	0	0	0
"ENSG00000238063"	0	0	0	0	0
"ENSG00000227104"	0	0	0	0	0
"ENSG00000243725"	199	157	157	180	246
"ENSG00000171872"	0	0	0	0	0
"ENSG00000162407"	356	334	429	328	342
"ENSG00000285079"	0	0	0	0	2
"ENSG00000163877"	569	551	581	519	784
"ENSG00000228929"	8517	7240	7755	6592	9277
"ENSG00000224570"	114	77	140	111	119
"ENSG00000224980"	6	0	0	1	4
"ENSG00000278967"	135	126	133	135	176
"ENSG00000157184"	703	617	679	548	760
"ENSG00000198815"	2805	2446	2732	2511	3322
"ENSG00000134744"	4924	4564	5350	4427	5759
"ENSG00000233910"	0	0	0	6	0
"ENSG00000287703"	0	0	0	0	0
"ENSG00000283039"	0	0	0	0	0
"ENSG00000229032"	0	4	5	2	2
"ENSG00000229294"	72	54	83	62	109
"ENSG00000234088"	2	0	0	0	0
"ENSG00000236973"	10	17	11	12	26
"ENSG00000277397"	1	0	1	0	0
"ENSG00000235446"	0	0	0	2	1
"ENSG00000162385"	370	347	389	336	369
"ENSG00000234264"	3	14	14	17	14
"ENSG00000223883"	2	4	7	14	2
"ENSG00000237227"	0	0	0	0	0
"ENSG00000275350"	0	0	0	0	2
"ENSG00000116652"	246	200	212	174	254
"ENSG00000123080"	864	659	774	625	830
"ENSG00000285778"	0	0	0	0	0
"ENSG00000233407"	0	0	0	0	0
"ENSG00000225675"	0	0	2	7	2
"ENSG00000237622"	76	43	45	73	98
"ENSG00000162598"	0	2	0	0	0
"ENSG00000280317"	0	0	0	0	0
"ENSG00000162415"	496	437	586	584	815
"ENSG00000162600"	1157	1024	1176	1010	1446
"ENSG00000116704"	1782	1554	1836	1648	2208
"ENSG00000157193"	1692	1531	1621	1406	1890
"ENSG00000116205"	3051	2950	3459	2943	3769
"ENSG00000198841"	189	99	128	129	149
"ENSG00000116212"	227	185	205	160	323
"ENSG00000234204"	0	0	0	0	0
"ENSG00000233099"	0	0	0	0	4
"ENSG00000233994"	1169	1024	1071	1053	1292
"ENSG00000233973"	10	0	6	11	5
"ENSG00000132854"	2	2	3	0	0
"ENSG00000227556"	4	6	7	4	7
"ENSG00000162607"	5605	4899	5667	4938	6644
"ENSG00000285954"	0	0	0	0	0
"ENSG00000233333"	4	11	6	7	0
"ENSG00000154027"	175	188	182	152	226
"ENSG00000234108"	0	0	0	0	4
"ENSG00000232676"	10	5	10	2	8
"ENSG00000225167"	0	0	0	0	0
"ENSG00000213579"	14	14	14	17	29
"ENSG00000137960"	30	19	18	21	13
"ENSG00000237852"	17	18	22	9	5
"ENSG00000116745"	0	0	2	0	0
"ENSG00000132855"	351	324	420	378	399
"ENSG00000285407"	26	17	14	26	32
"ENSG00000270549"	43	19	28	16	33
"ENSG00000237163"	0	1	1	1	2
"ENSG00000229636"	0	0	0	0	0
"ENSG00000116675"	826	659	734	761	1027
"ENSG00000162433"	4335	3923	4200	3695	4778
"ENSG00000213625"	1649	1495	1565	1486	1849
"ENSG00000227207"	12	20	17	14	19
"ENSG00000227016"	1	1	5	13	3
"ENSG00000233664"	0	0	0	0	0
"ENSG00000158966"	2588	2357	2412	2095	2654
"ENSG00000213703"	14	29	15	20	29
"ENSG00000203965"	761	670	836	726	893
"ENSG00000223479"	0	0	0	0	0
"ENSG00000233674"	24	30	67	48	58
"ENSG00000153898"	643	635	746	549	704
"ENSG00000117069"	37	66	87	92	92
"ENSG00000125703"	1007	970	1176	956	1370
"ENSG00000285041"	0	2	0	2	4
"ENSG00000285808"	13	18	10	3	7
"ENSG00000229440"	1	0	0	0	1
"ENSG00000234144"	18	28	34	5	14
"ENSG00000277670"	0	0	0	0	0
"ENSG00000227466"	3	8	0	0	2
"ENSG00000230498"	32	50	75	55	63
"ENSG00000285782"	0	2	6	0	2
"ENSG00000162618"	0	0	0	0	0
"ENSG00000224493"	23	36	63	28	48
"ENSG00000131233"	10	8	19	18	24
"ENSG00000272371"	16	20	28	12	39
"ENSG00000287647"	18	6	6	2	8
"ENSG00000229225"	0	0	0	0	0
"ENSG00000230863"	335	258	348	302	433
"ENSG00000225598"	0	2	0	0	0
"ENSG00000286455"	0	0	0	0	0
"ENSG00000225087"	17	26	25	33	39
"ENSG00000280378"	40	54	37	35	35
"ENSG00000230053"	68	61	59	60	95
"ENSG00000137941"	1262	999	1310	1067	1509
"ENSG00000224326"	0	0	0	4	0
"ENSG00000286548"	76	68	75	106	64
"ENSG00000066135"	325	328	331	256	462
"ENSG00000272094"	5	2	8	0	2
"ENSG00000228853"	0	0	0	0	0
"ENSG00000232453"	10	6	1	4	7
"ENSG00000260386"	0	2	0	0	0
"ENSG00000284895"	0	0	0	0	0
"ENSG00000117174"	1822	1706	1875	1662	2154
"ENSG00000237413"	61	50	51	29	60
"ENSG00000184313"	8	5	5	4	15
"ENSG00000284645"	0	0	0	0	2
"ENSG00000225446"	41	26	35	30	45
"ENSG00000288543"	9	6	9	11	34
"ENSG00000122420"	1681	1559	1780	1397	1701
"ENSG00000284240"	0	0	0	0	2
"ENSG00000236290"	0	4	0	1	2
"ENSG00000143013"	1321	1274	1313	1142	1573
"ENSG00000226084"	4701	3952	4288	3489	4982
"ENSG00000134748"	2583	2324	2649	2079	2808
"ENSG00000142892"	2091	1993	2168	2012	2642
"ENSG00000219102"	68	39	34	24	48
"ENSG00000287743"	13	7	4	6	17
"ENSG00000229332"	0	0	0	0	0
"ENSG00000227937"	0	0	0	0	0
"ENSG00000229752"	0	0	0	0	0
"ENSG00000237505"	223	246	211	270	280
"ENSG00000285462"	0	0	0	0	0
"ENSG00000233216"	74	54	80	37	72
"ENSG00000197273"	1	2	2	1	5
"ENSG00000226804"	0	0	0	0	0
"ENSG00000230728"	2	0	0	0	1
"ENSG00000232846"	11	4	23	26	46
"ENSG00000230787"	3554	3115	3634	3031	4201
"ENSG00000116641"	3681	3584	4143	3707	4653
"ENSG00000237453"	0	0	0	0	0
"ENSG00000172260"	12	33	56	31	45
"ENSG00000285473"	8	1	12	8	6
"ENSG00000237959"	0	1	5	7	5
"ENSG00000231364"	6	11	2	2	1
"ENSG00000234578"	0	0	0	1	0
"ENSG00000137944"	805	764	906	730	883
"ENSG00000229505"	1	2	0	9	3
"ENSG00000228187"	102	167	113	142	156
"ENSG00000182183"	8	18	15	9	9
"ENSG00000236407"	0	0	1	0	0
"ENSG00000271949"	0	0	0	0	0
"ENSG00000227062"	0	0	0	0	0
"ENSG00000067334"	2350	2143	2229	2023	2739
"ENSG00000235011"	0	0	0	0	0
"ENSG00000226938"	0	0	0	0	0
"ENSG00000213559"	0	0	0	2	0
"ENSG00000287587"	0	0	0	0	0
"ENSG00000142949"	5734	4697	5387	4249	6048
"ENSG00000116133"	3238	2837	3015	2647	4077
"ENSG00000232882"	275	269	298	303	366
"ENSG00000171502"	206	203	306	190	277
"ENSG00000116157"	3	10	3	0	12
"ENSG00000143036"	73	68	68	97	118
"ENSG00000230817"	138	111	121	108	122
"ENSG00000065243"	4935	4574	4740	4375	5675
"ENSG00000226759"	18	27	42	26	42
"ENSG00000226960"	0	0	0	0	0
"ENSG00000234080"	5	0	6	2	1
"ENSG00000237899"	3	2	6	0	1
"ENSG00000227290"	15	29	18	14	33
"ENSG00000282898"	0	0	0	0	0
"ENSG00000285409"	0	0	0	0	0
"ENSG00000231090"	0	1	4	0	3
"ENSG00000117528"	2228	1977	2329	1974	2865
"ENSG00000271723"	2	1	0	0	0
"ENSG00000172339"	439	340	509	321	404
"ENSG00000036549"	4908	4644	5192	4920	6470
"ENSG00000287724"	49	51	49	49	66
"ENSG00000058799"	183	157	119	161	209
"ENSG00000225191"	13	23	19	26	49
"ENSG00000287870"	19	15	26	25	27
"ENSG00000232048"	0	0	0	2	0
"ENSG00000232857"	0	6	4	9	4
"ENSG00000273637"	0	0	0	0	0
"ENSG00000203985"	2	0	0	0	0
"ENSG00000228838"	32	32	59	26	39
"ENSG00000283761"	199	169	185	135	199
"ENSG00000189433"	1	3	0	6	2
"ENSG00000230759"	0	0	0	0	0
"ENSG00000179178"	2	0	0	0	0
"ENSG00000142700"	37	8	13	6	10
"ENSG00000285525"	0	0	0	0	0
"ENSG00000236098"	0	0	0	0	0
"ENSG00000233514"	1113	1030	1087	891	1189
"ENSG00000127124"	420	405	487	368	401
"ENSG00000266993"	114	99	149	101	107
"ENSG00000223675"	0	0	0	2	7
"ENSG00000229316"	0	2	0	0	0
"ENSG00000287406"	2	16	23	4	8
"ENSG00000225767"	189	184	228	176	273
"ENSG00000234099"	0	1	0	4	0
"ENSG00000137936"	282	266	258	265	344
"ENSG00000235308"	5	27	19	14	31
"ENSG00000232752"	0	0	0	2	0
"ENSG00000235829"	35	19	30	4	24
"ENSG00000143032"	108	119	89	82	142
"ENSG00000226745"	1181	897	1033	1032	1228
"ENSG00000280040"	5	1	1	4	6
"ENSG00000117519"	2396	2012	2365	2114	2894
"ENSG00000270507"	0	4	0	0	5
"ENSG00000238037"	0	0	0	0	0
"ENSG00000215869"	37	48	47	41	59
"ENSG00000134215"	160	130	187	154	237
"ENSG00000227935"	4	2	0	0	0
"ENSG00000228502"	759	680	780	657	865
"ENSG00000236268"	24	7	14	21	33
"ENSG00000271277"	0	0	0	0	0
"ENSG00000236888"	6	2	2	0	2
"ENSG00000279778"	0	0	0	0	6
"ENSG00000230828"	0	0	0	0	0
"ENSG00000188641"	0	0	2	1	4
"ENSG00000152078"	1189	960	1447	1070	1354
"ENSG00000233359"	0	0	0	0	0
"ENSG00000237954"	0	0	0	0	0
"ENSG00000171492"	1225	1188	1485	1214	1541
"ENSG00000233129"	0	0	2	0	0
"ENSG00000170989"	143	153	173	63	153
"ENSG00000233557"	0	0	0	0	0
"ENSG00000237897"	260	224	273	200	286
"ENSG00000116299"	18	23	22	17	38
"ENSG00000137962"	1395	1147	1507	1343	1689
"ENSG00000227832"	0	0	0	0	0
"ENSG00000286692"	4	0	0	0	4
"ENSG00000260464"	56	39	40	40	54
"ENSG00000237435"	0	0	0	0	2
"ENSG00000231996"	0	2	3	1	0
"ENSG00000273204"	6	4	9	12	18
"ENSG00000079739"	1538	1400	1539	1360	1752
"ENSG00000117154"	6	7	21	6	5
"ENSG00000162377"	1764	1572	1770	1463	2041
"ENSG00000224613"	10	6	11	8	1
"ENSG00000215871"	412	386	384	336	416
"ENSG00000287372"	1	0	0	4	0
"ENSG00000232542"	0	0	2	0	0
"ENSG00000116774"	0	10	7	6	18
"ENSG00000287756"	29	45	32	25	59
"ENSG00000284652"	2	10	4	8	6
"ENSG00000023909"	1095	1031	1155	927	1331
"ENSG00000069702"	1341	1151	1385	989	1309
"ENSG00000232185"	9	14	2	0	9
"ENSG00000230489"	9	2	0	6	2
"ENSG00000228399"	11	16	13	2	16
"ENSG00000236776"	5	12	12	6	8
"ENSG00000224685"	0	0	0	0	0
"ENSG00000287076"	2	0	2	10	0
"ENSG00000237480"	2	0	0	0	0
"ENSG00000271252"	0	0	0	0	0
"ENSG00000230427"	36	25	53	51	46
"ENSG00000235794"	0	0	0	0	0
"ENSG00000286758"	0	3	0	3	8
"ENSG00000237337"	0	0	0	0	0
"ENSG00000233983"	0	0	0	0	0
"ENSG00000198198"	1830	1882	1986	1749	2416
"ENSG00000225183"	42	61	20	45	39
"ENSG00000230402"	0	0	0	0	0
"ENSG00000116793"	938	892	1074	957	1019
"ENSG00000238122"	0	0	0	0	0
"ENSG00000260879"	0	0	0	0	0
"ENSG00000283354"	0	0	0	0	0
"ENSG00000232918"	0	0	0	0	0
"ENSG00000183298"	935	767	882	664	956
"ENSG00000234332"	906	879	928	894	1018
"ENSG00000117525"	115	121	160	134	171
"ENSG00000225079"	0	0	0	2	0
"ENSG00000226483"	0	0	0	0	0
"ENSG00000224238"	119	80	131	127	120
"ENSG00000229537"	0	0	0	0	0
"ENSG00000162699"	0	0	0	1	0
"ENSG00000162692"	25	30	23	22	4
"ENSG00000203914"	3769	3056	3770	3324	4452
"ENSG00000270457"	2	2	2	1	2
"ENSG00000203858"	0	0	0	0	0
"ENSG00000231987"	0	0	0	0	0
"ENSG00000228057"	1145	1113	1206	1065	1355
"ENSG00000224445"	4	0	1	0	0
"ENSG00000229842"	0	0	0	0	0
"ENSG00000270631"	0	0	0	0	0
"ENSG00000229201"	0	0	0	0	1
"ENSG00000181656"	12	4	12	14	7
"ENSG00000122481"	186	202	199	178	219
"ENSG00000198162"	3691	3100	3470	3640	4783
"ENSG00000238198"	944	815	1040	839	1135
"ENSG00000171517"	749	647	748	653	913
"ENSG00000228852"	29	48	41	30	79
"ENSG00000203864"	0	0	0	0	0
"ENSG00000233482"	6	0	0	0	0
"ENSG00000230250"	0	0	0	0	0
"ENSG00000232878"	0	1	1	0	2
"ENSG00000143079"	1731	1537	1796	1514	2087
"ENSG00000232450"	73	53	52	48	86
"ENSG00000223575"	100	87	49	45	110
"ENSG00000230768"	0	0	0	0	0
"ENSG00000235202"	0	0	2	0	0
"ENSG00000272715"	6	3	6	3	1
"ENSG00000235038"	4	5	10	16	13
"ENSG00000085491"	1898	1507	1778	1472	2032
"ENSG00000173947"	14	0	18	3	8
"ENSG00000230434"	0	0	0	0	0
"ENSG00000230718"	0	0	0	0	0
"ENSG00000134198"	255	281	287	209	255
"ENSG00000235595"	0	0	0	0	0
"ENSG00000226053"	0	0	0	0	0
"ENSG00000226128"	0	0	0	0	0
"ENSG00000198799"	4208	3627	4103	3848	5058
"ENSG00000279513"	37	55	58	78	107
"ENSG00000117620"	2669	2591	2798	2607	3441
"ENSG00000280186"	2	1	8	9	11
"ENSG00000223906"	0	0	0	0	0
"ENSG00000162688"	2994	2551	3078	2592	3561
"ENSG00000197106"	34	72	38	50	67
"ENSG00000259946"	0	0	0	0	0
"ENSG00000236137"	37	59	47	50	59
"ENSG00000203859"	9	7	5	0	10
"ENSG00000228086"	5	4	4	6	2
"ENSG00000213421"	0	0	0	0	0
"ENSG00000234020"	2	6	10	6	7
"ENSG00000236804"	36	30	32	30	41
"ENSG00000231072"	0	0	0	1	0
"ENSG00000273406"	2	4	2	0	2
"ENSG00000185946"	1136	920	945	934	1230
"ENSG00000162627"	395	276	331	301	424
"ENSG00000226715"	0	0	0	0	0
"ENSG00000162695"	3674	3330	3858	3028	4126
"ENSG00000265808"	3332	3095	3494	2941	4154
"ENSG00000225923"	79	112	83	88	104
"ENSG00000134247"	3172	2575	3024	2534	3196
"ENSG00000187481"	0	3	0	0	6
"ENSG00000162664"	5422	5009	5590	4507	5769
"ENSG00000236866"	2	2	8	2	0
"ENSG00000134253"	590	577	563	520	670
"ENSG00000223416"	34	28	42	35	69
"ENSG00000179571"	0	0	0	0	0
"ENSG00000227850"	233	223	226	181	210
"ENSG00000235777"	0	0	0	0	8
"ENSG00000285532"	102	145	151	95	178
"ENSG00000226755"	105	41	68	91	87
"ENSG00000232650"	12	9	19	12	8
"ENSG00000183508"	217	207	193	181	327
"ENSG00000277095"	4	6	2	9	9
"ENSG00000234283"	0	1	0	8	0
"ENSG00000232780"	0	0	0	0	2
"ENSG00000274927"	2	5	0	0	0
"ENSG00000264145"	0	0	0	1	0
"ENSG00000238256"	5	13	2	5	11
"ENSG00000198765"	5	0	0	0	0
"ENSG00000224335"	0	2	0	1	0
"ENSG00000277702"	4	2	8	3	8
"ENSG00000143398"	4220	3683	4112	3718	4851
"ENSG00000196505"	3370	3141	3197	3230	3968
"ENSG00000223489"	0	0	0	0	2
"ENSG00000230546"	0	0	0	0	0
"ENSG00000213262"	8	2	2	8	4
"ENSG00000287015"	5	5	6	6	5
"ENSG00000235526"	4	1	2	7	9
"ENSG00000228347"	0	0	0	0	0
"ENSG00000236012"	10	5	0	5	4
"ENSG00000270911"	0	2	0	0	0
"ENSG00000134200"	4	8	2	0	12
"ENSG00000065183"	1608	1403	1560	1421	1884
"ENSG00000227082"	12	15	12	35	35
"ENSG00000226126"	0	0	0	0	0
"ENSG00000163393"	362	389	458	302	459
"ENSG00000163156"	176	159	190	143	192
"ENSG00000143631"	4	0	0	0	0
"ENSG00000228453"	0	1	0	0	0
"ENSG00000274642"	10	14	18	8	20
"ENSG00000237975"	0	0	0	0	0
"ENSG00000261168"	42	35	54	53	53
"ENSG00000287980"	0	0	2	0	0
"ENSG00000229283"	0	0	0	0	0
"ENSG00000226172"	3	4	3	1	2
"ENSG00000079335"	275	342	300	321	381
"ENSG00000143119"	19	17	5	12	3
"ENSG00000237278"	0	0	0	0	0
"ENSG00000233432"	363	342	308	309	360
"ENSG00000227700"	0	0	0	0	0
"ENSG00000229911"	88	71	43	53	75
"ENSG00000143520"	0	0	0	0	2
"ENSG00000171943"	2349	1983	2354	2026	2460
"ENSG00000270719"	0	0	0	4	0
"ENSG00000155761"	56	66	71	28	84
"ENSG00000230806"	104	102	106	77	137
"ENSG00000116830"	4701	4456	4769	4329	5783
"ENSG00000234422"	82	92	83	77	136
"ENSG00000227056"	115	106	85	136	148
"ENSG00000227091"	5	12	8	0	2
"ENSG00000081026"	3258	2822	3478	3338	4196
"ENSG00000224965"	6	5	11	6	10
"ENSG00000228127"	2	2	4	2	2
"ENSG00000143458"	1170	1307	1381	1176	1514
"ENSG00000230932"	0	0	0	0	2
"ENSG00000073754"	0	0	0	0	0
"ENSG00000228826"	3	3	2	3	10
"ENSG00000233907"	0	0	0	0	2
"ENSG00000225036"	0	0	0	0	0
